#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
09.01.1994	07:30	11.61517825	12.77614877	10.11990819
10.01.1994	07:30	9.467072977	12.26474078	9.714825092
11.01.1994	07:30	9.036135801	10.66866652	8.450584577
12.01.1994	07:30	12.40611429	15.2841818	12.1065056
13.01.1994	07:30	13.03530041	19.03647396	15.07867295
14.01.1994	07:30	12.36193578	15.42558054	12.21850666
15.01.1994	07:30	10.60627666	14.51013735	11.49338979
16.01.1994	07:30	9.614738578	13.38204419	10.59983419
17.01.1994	07:30	10.03509736	12.04245254	9.53875196
18.01.1994	07:30	9.435978491	11.87047958	9.402533244
19.01.1994	07:30	10.05284637	11.66412835	9.239083715
20.01.1994	07:30	11.42367599	12.96754609	10.27151282
21.01.1994	07:30	11.59381138	12.84405504	10.17369632
22.01.1994	07:30	13.31815159	16.86404463	13.35790515
23.01.1994	07:30	13.7697254	15.54161163	12.31041417
24.01.1994	07:30	11.74490487	13.83127055	10.95566361
25.01.1994	07:30	11.32871741	12.7070802	10.06519941
26.01.1994	07:30	10.80788261	13.08757073	10.3665836
27.01.1994	07:30	11.52765749	14.7295234	11.66716412
28.01.1994	07:30	11.96730233	13.59126553	10.76555712
29.01.1994	07:30	11.8309304	14.25910795	11.29455096
30.01.1994	07:30	10.3015746	14.34793094	11.3649071
31.01.1994	07:30	11.1013402	12.45114187	9.862472243
01.02.1994	07:30	15.09104964	17.61854314	13.95553874
02.02.1994	07:30	14.61496692	16.71134667	13.23695404
03.02.1994	07:30	11.76373358	14.46986405	11.46148956
04.02.1994	07:30	12.6810415	14.0838219	11.15570797
05.02.1994	07:30	12.65002059	14.47255756	11.46362308
06.02.1994	07:30	11.96311889	15.94390151	12.62906549
07.02.1994	07:30	13.93811202	18.88957999	14.96231914
08.02.1994	07:30	10.9487645	13.81478797	10.94260786
09.02.1994	07:30	11.69950236	13.9897367	11.08118366
10.02.1994	07:30	12.74134212	13.8636497	10.98131093
11.02.1994	07:30	12.39316738	14.36320021	11.37700179
12.02.1994	07:30	10.66623555	13.51517928	10.70528967
13.02.1994	07:30	8.606783547	10.94599379	8.670253785
14.02.1994	07:30	9.664666481	11.38069338	9.014576637
15.02.1994	07:30	10.06648782	12.12223035	9.601943466
16.02.1994	07:30	11.22107086	12.04460419	9.54045627
17.02.1994	07:30	13.06059067	13.79473546	10.92672439
18.02.1994	07:30	11.29737375	13.66761234	10.82603096
19.02.1994	07:30	11.02061962	12.25508894	9.707179935
20.02.1994	07:30	10.90222111	11.69051379	9.259983457
21.02.1994	07:30	11.00083189	13.54141725	10.72607261
22.02.1994	07:30	10.29002725	12.83815991	10.16902683
23.02.1994	07:30	11.37831142	13.5542037	10.73620068
24.02.1994	07:30	10.58355108	12.89813249	10.21653074
25.02.1994	07:30	9.273506216	10.66866652	8.450584577
26.02.1994	07:30	9.497651553	10.75618385	8.519906511
27.02.1994	07:30	9.605722987	12.84921364	10.17778242
28.02.1994	07:30	7.52127858	10.04015089	7.952741242
01.03.1994	07:30	9.311099949	12.16213347	9.633550485
