# rain.dat rainfall uncorrected							
@dataValueAttribs							
rain	0	9999	mm				
@dataSetAttribs							
missingDataVal	-99						
dataStart	01.01.1970	07:30:00					
dataEnd	31.12.2000	07:30:00					
tres	d						
@statAttribVal							
name		TANNA	OETTERSDORF	PAHREN	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ
01.10.1970	07:30:00	6.424798079	5.617602284	12.86560767	5.617602284	5.617602284	10.45285488
02.10.1970	07:30:00	12.26262405	12.06160155	11.2573605	12.06160155	11.96108482	15.57769607
03.10.1970	07:30:00	15.57769607	9.849280888	11.65951212	9.849280888	9.648049089	13.87032262
04.10.1970	07:30:00	3.79836271	2.481381192	2.988172753	2.481381192	2.380015014	3.393396622
05.10.1970	07:30:00	0	0.692979055	0.692979055	0.692979055	0.692979055	0
06.10.1970	07:30:00	0	0	0	0	0	0
07.10.1970	07:30:00	0	0	0	0	0	0
08.10.1970	07:30:00	0	0	0	0	0	0.692979055
09.10.1970	07:30:00	0	0	0	0	0	0.692979055
10.10.1970	07:30:00	0.692979055	0	0	0	0	0.692979055
11.10.1970	07:30:00	0	0	0	0	0	0.692979055
12.10.1970	07:30:00	0	0	0	0	0	0
13.10.1970	07:30:00	0.667815292	0	0.692979055	0	0	0
14.10.1970	07:30:00	0	0.667815292	0.667815292	0.667815292	0.667815292	0
15.10.1970	07:30:00	0	0	0	0	0	0
16.10.1970	07:30:00	0	0	0	0	0	0
17.10.1970	07:30:00	0	0	0	0	0	0
18.10.1970	07:30:00	0	0	0	0	0	0
19.10.1970	07:30:00	3.190814944	4.000745214	4.203061693	4.000745214	4.000745214	4.203061693
20.10.1970	07:30:00	4.000745214	3.595913155	3.595913155	3.595913155	3.79836271	5.213723505
21.10.1970	07:30:00	8.440180686	11.55898019	9.346161015	11.55898019	11.76004016	10.15109001
22.10.1970	07:30:00	10.45285488	8.54087019	10.7545776	8.54087019	8.641553166	12.26262405
23.10.1970	07:30:00	4.80963373	2.785479159	4.000745214	2.785479159	2.5827505	11.45844432
24.10.1970	07:30:00	9.044222165	5.112721579	5.718541172	5.112721579	5.011706175	0
25.10.1970	07:30:00	0	0.692979055	0	0.692979055	0.692979055	0
26.10.1970	07:30:00	6.62649172	5.213723505	4.405313841	5.213723505	4.910676993	5.213723505
27.10.1970	07:30:00	3.393396622	0.667815292	0.692979055	0.667815292	0.720722958	0.720722958
28.10.1970	07:30:00	7.735160371	7.533659481	8.54087019	7.533659481	7.735160371	8.94356412
29.10.1970	07:30:00	1.370023563	1.873556461	2.076013625	1.873556461	1.873556461	0
30.10.1970	07:30:00	0	0.692979055	0	0.692979055	0.692979055	0
31.10.1970	07:30:00	0.720722958	0.667815292	0.667815292	0.667815292	0.667815292	2.5827505
01.11.1970	07:30:00	1.863710238	0.643966595	0.617582193	0.643966595	0.643966595	0.593699457
02.11.1970	07:30:00	7.881315286	10.58948925	11.69244935	10.58948925	10.68976639	11.69244935
03.11.1970	07:30:00	0	1.467298455	0.617582193	1.467298455	1.36899972	0
04.11.1970	07:30:00	0	0.617582193	0	0.617582193	0.617582193	0.617582193
05.11.1970	07:30:00	6.978262369	6.576849609	3.465314609	6.576849609	6.476491133	6.576849609
06.11.1970	07:30:00	3.66600572	3.866725628	0.617582193	3.866725628	3.766362679	0.890741403
07.11.1970	07:30:00	0.593699457	0	0.643966595	0	0	0
08.11.1970	07:30:00	2.251597368	1.063958636	1.168946893	1.063958636	1.063958636	0
09.11.1970	07:30:00	1.963316409	3.264663907	5.071278749	3.264663907	3.465314609	6.777560252
10.11.1970	07:30:00	0.801360808	0.890741403	1.36899972	0.890741403	0.890741403	1.863710238
11.11.1970	07:30:00	4.669746101	2.162890142	2.262816675	2.162890142	2.162890142	2.262816675
12.11.1970	07:30:00	0	1.56599767	1.56599767	1.56599767	1.665007307	2.663139914
13.11.1970	07:30:00	1.963316409	1.07807131	1.764261312	1.07807131	0.983371967	0.801360808
14.11.1970	07:30:00	4.067465566	4.268218851	4.569362904	4.268218851	4.368598845	0
15.11.1970	07:30:00	0	0.617582193	0	0.617582193	0.617582193	0
16.11.1970	07:30:00	2.462875389	0.593699457	0	0.593699457	0.593699457	0
17.11.1970	07:30:00	1.07807131	0.801360808	0.717480261	0.801360808	0.801360808	5.171660555
18.11.1970	07:30:00	3.164358374	0.593699457	0.593699457	0.593699457	0.593699457	0
19.11.1970	07:30:00	0.643966595	0	0	0	0	0
20.11.1970	07:30:00	0	0	0	0	0	0
21.11.1970	07:30:00	11.99322436	11.69244935	11.59218804	11.69244935	11.89296749	9.987790591
22.11.1970	07:30:00	0.643966595	2.562986113	0	2.562986113	2.462875389	0
23.11.1970	07:30:00	0	0	0	0	0	0
24.11.1970	07:30:00	0	0	0	0	0	0
25.11.1970	07:30:00	0	0	0	0	0	0
26.11.1970	07:30:00	0	0	0	0	0	0.617582193
27.11.1970	07:30:00	0	0.717480261	0	0.717480261	0.717480261	0
28.11.1970	07:30:00	0	0	0	0	0	0
29.11.1970	07:30:00	3.264663907	1.36899972	0.643966595	1.36899972	1.467298455	2.7633302
