#abc annual data set from leaf river
@{time_format='dd.mm.yyyy hh:mm'}			

time	precip	runoff	
===================================			
04.06.1991 07:30	1.98	0.80
05.06.1991 07:30	0.00	0.80
06.06.1991 07:30	2.22	0.80
07.06.1991 07:30	4.08	0.80
08.06.1991 07:30	5.81	0.80
09.06.1991 07:30	6.59	0.80
10.06.1991 07:30	4.74	0.80
11.06.1991 07:30	0.82	0.80
12.06.1991 07:30	7.99	0.80
13.06.1991 07:30	3.87	0.80
14.06.1991 07:30	4.24	0.73
15.06.1991 07:30	0.13	0.73
16.06.1991 07:30	3.55	0.73
17.06.1991 07:30	17.59	0.73
18.06.1991 07:30	7.06	1.00
19.06.1991 07:30	2.10	0.80
20.06.1991 07:30	0.66	0.73
21.06.1991 07:30	0.26	0.73
22.06.1991 07:30	9.69	0.73
23.06.1991 07:30	5.58	0.80
24.06.1991 07:30	8.55	0.80
25.06.1991 07:30	1.82	0.80
26.06.1991 07:30	10.25	0.93
27.06.1991 07:30	28.74	0.93
28.06.1991 07:30	10.03	2.26
29.06.1991 07:30	0.03	2.66
30.06.1991 07:30	0.00	2.39
01.07.1991 07:30	0.00	1.99
02.07.1991 07:30	0.00	1.93
03.07.1991 07:30	0.26	1.66
04.07.1991 07:30	0.00	1.60
05.07.1991 07:30	0.00	1.60
06.07.1991 07:30	0.00	1.60
07.07.1991 07:30	0.00	1.46
08.07.1991 07:30	0.37	1.40
09.07.1991 07:30	0.00	1.26
10.07.1991 07:30	0.00	1.26
11.07.1991 07:30	0.00	1.26
12.07.1991 07:30	0.00	1.20
13.07.1991 07:30	4.25	1.06
14.07.1991 07:30	2.23	1.06
15.07.1991 07:30	0.00	1.06
16.07.1991 07:30	0.00	1.00
17.07.1991 07:30	11.21	1.00
18.07.1991 07:30	4.79	1.00
19.07.1991 07:30	0.00	1.00
20.07.1991 07:30	0.00	1.00
21.07.1991 07:30	0.00	1.00
22.07.1991 07:30	0.00	1.00
23.07.1991 07:30	0.00	0.93
24.07.1991 07:30	3.67	0.93
25.07.1991 07:30	2.71	1.00
26.07.1991 07:30	7.13	1.00
27.07.1991 07:30	0.00	1.06
28.07.1991 07:30	0.00	1.00
29.07.1991 07:30	0.00	0.93
30.07.1991 07:30	0.00	0.93
31.07.1991 07:30	0.98	0.80
01.08.1991 07:30	4.73	0.80
02.08.1991 07:30	1.99	0.93
03.08.1991 07:30	0.74	0.80
04.08.1991 07:30	0.00	0.73
05.08.1991 07:30	0.00	0.73
06.08.1991 07:30	0.00	0.73
07.08.1991 07:30	9.86	0.73
08.08.1991 07:30	1.88	0.73
09.08.1991 07:30	1.07	0.73
10.08.1991 07:30	2.78	0.73
11.08.1991 07:30	3.40	0.66
12.08.1991 07:30	2.56	0.66
13.08.1991 07:30	0.00	0.66
14.08.1991 07:30	0.00	0.66
15.08.1991 07:30	0.00	0.66
16.08.1991 07:30	0.00	0.66
17.08.1991 07:30	1.58	0.66
18.08.1991 07:30	1.99	0.66
19.08.1991 07:30	0.58	0.73
20.08.1991 07:30	3.19	0.73
21.08.1991 07:30	0.00	0.73
22.08.1991 07:30	0.00	0.66
23.08.1991 07:30	5.38	0.53
24.08.1991 07:30	0.00	0.53
25.08.1991 07:30	0.00	0.53
26.08.1991 07:30	0.00	0.53
27.08.1991 07:30	0.00	0.53
28.08.1991 07:30	0.25	0.53
29.08.1991 07:30	0.00	0.53
30.08.1991 07:30	0.00	0.53
31.08.1991 07:30	0.00	0.53
01.09.1991 07:30	0.00	0.53
02.09.1991 07:30	0.00	0.53
03.09.1991 07:30	0.00	0.53
04.09.1991 07:30	0.00	0.53
05.09.1991 07:30	1.11	0.53
06.09.1991 07:30	0.00	0.47
07.09.1991 07:30	4.84	0.47
08.09.1991 07:30	0.84	0.47
09.09.1991 07:30	0.00	0.47
10.09.1991 07:30	0.00	0.47
11.09.1991 07:30	0.00	0.47
12.09.1991 07:30	0.00	0.47
13.09.1991 07:30	0.00	0.47
14.09.1991 07:30	0.00	0.47
15.09.1991 07:30	1.56	0.47
16.09.1991 07:30	11.83	0.47
17.09.1991 07:30	0.02	0.66
18.09.1991 07:30	0.00	0.53
19.09.1991 07:30	0.19	0.53
20.09.1991 07:30	0.00	0.53
21.09.1991 07:30	0.00	0.53
22.09.1991 07:30	15.03	0.53
23.09.1991 07:30	2.48	0.53
24.09.1991 07:30	1.40	0.53
25.09.1991 07:30	0.03	0.53
26.09.1991 07:30	4.32	0.53
27.09.1991 07:30	2.08	0.53
28.09.1991 07:30	0.13	0.53
29.09.1991 07:30	0.91	0.53
30.09.1991 07:30	12.91	0.53
01.10.1991 07:30	9.42	0.53
02.10.1991 07:30	3.34	0.53
03.10.1991 07:30	0.00	0.53
04.10.1991 07:30	0.17	0.53
05.10.1991 07:30	0.07	0.53
06.10.1991 07:30	3.62	0.53
07.10.1991 07:30	0.00	0.53
08.10.1991 07:30	0.00	0.53
09.10.1991 07:30	0.00	0.53
10.10.1991 07:30	0.00	0.47
